page,item,old_value,new_value,notes
"saudi-arabian-grand-prix-2027.html","package card: premium-jeddah","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (opposite pits), 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (opposite pits), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Assila, a Luxury Collection Hotel or Park Hyatt Jeddah (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"saudi-arabian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality on the pit complex</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive (confirm 2027 naming); private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality on the pit complex, all-inclusive (2027 product names confirmed on release)</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Ritz-Carlton, Jeddah (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Sea View / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"saudi-arabian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Ritz-Carlton, Jeddah (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Sea View / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"australian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Brabham or Senna Grandstand (Turn 1 complex), 4-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Brabham or Senna Grandstand (Turn 1 complex), 4-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>W Melbourne (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Wonderful Room, City View</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Room only</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Tram to Albert Park</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"australian-grand-prix-2027.html","package card: premium-melbourne","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Jones Grandstand &mdash; pit straight opposite the garages, 4-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Jones Grandstand &mdash; pit straight opposite the garages, 4-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>W Melbourne or Park Hyatt Melbourne (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>By hotel &mdash; see the hotel list</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers to the closest gate</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"australian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Transfers</dt><dd>AGP corporate hospitality suites on the pit straight; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>AGP corporate hospitality suites on the pit straight</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Park Hyatt Melbourne or Crown Towers Melbourne (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers to the closest gate</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"australian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Crown Towers; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Crown Towers Melbourne or The Ritz-Carlton, Melbourne (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"japanese-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand B/C at the S Curves, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Nagoya hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand B/C at the S Curves, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Hilton Nagoya (Nagoya base)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Hilton Guest Room King / Executive Room</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Kintetsu express to Shiroko plus circuit shuttle</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"japanese-grand-prix-2027.html","package card: premium-suzuka","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand on the pit straight (covered sections, grid and podium), 3-day, luxury Nagoya base</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand on the pit straight (covered sections, grid and podium), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Nagoya Marriott Associa (luxury Nagoya base)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King, high floor</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"japanese-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Suzuka Circuit VIP/premium suites over the pit straight </dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Suzuka Circuit VIP/premium suites over the pit straight, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Ritz-Carlton, Kyoto</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Garden View / Kamogawa River Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"japanese-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Tokyo/Kyoto luxury base with private logistics</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Ritz-Carlton, Kyoto or Aman Tokyo</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>5 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"chinese-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstands (the snail complex), 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstands (the snail complex), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Upper House Shanghai (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Studio 60 / Studio 80</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Metro Line 11 to the circuit</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"chinese-grand-prix-2027.html","package card: premium-shanghai","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (covered, opposite pits under the wing roofs), 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (covered, opposite pits under the wing roofs), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Peninsula Shanghai (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe River View Room</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"chinese-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>SIC hospitality suites in the pit building </dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>SIC hospitality suites in the pit building, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Peninsula Shanghai (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe River View Room</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"chinese-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Bulgari Shanghai; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Bulgari Hotel Shanghai (Amanyangyun on request)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Bulgari Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"miami-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 18/Marina Grandstand (the faux-marina bowl), 3-day campus pass</dd></div><div class=""pk-row""><dt>Stay</dt><dd>South Beach 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 18/Marina Grandstand (the faux-marina bowl), 3-day campus pass</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>1 Hotel South Beach or Mr. C Coconut Grove (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Coach/shuttle guidance</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"miami-grand-prix-2027.html","package card: premium-miami","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Start/Finish Grandstand &mdash; main straight opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Start/Finish Grandstand &mdash; main straight opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Setai, Miami Beach or Mr. C Coconut Grove (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"miami-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hard Rock Beach Club &mdash; trackside pool-club hospitality at Turn 11&ndash;12</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hard Rock Beach Club &mdash; trackside pool-club hospitality at Turn 11&ndash;12, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Setai, Miami Beach (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Ocean Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"miami-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team (72 Club upgrades available &mdash; the venue's courtside-style top tier); Faena Miami Beach; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team (72 Club upgrades available &mdash; the venue's courtside-style top tier)</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Faena Miami Beach (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Premier King / Ocean Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"canadian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand 15/21 at the Senna corner&ndash;hairpin end, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>4*/5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand 15/21 at the Senna corner&ndash;hairpin end, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>H&ocirc;tel William Gray (4*/5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Room only</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>M&eacute;tro Yellow Line to Jean-Drapeau</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"canadian-grand-prix-2027.html","package card: premium-montr-al","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand 1 &mdash; pit straight opposite the garages, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand 1 &mdash; pit straight opposite the garages, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Four Seasons Montr&eacute;al (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private drop at the Concorde bridge</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"canadian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality lounges on the pit complex</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality lounges on the pit complex, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Four Seasons Montr&eacute;al (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private drop at the Concorde bridge</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"canadian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Ritz-Carlton Montréal; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Ritz-Carlton Montr&eacute;al (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"monaco-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand K &mdash; Piscine complex over the harbour, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Nice/Beaulieu 4&ndash;5* base</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand K &mdash; Piscine complex over the harbour, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Nice or Beaulieu 4&ndash;5* base (Columbus Monte-Carlo available as a Monaco-address upgrade)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>By hotel &mdash; see the hotel list</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return direct flights London&ndash;Nice</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Train from Nice or Beaulieu</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"monaco-grand-prix-2027.html","package card: premium-monaco","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand B &mdash; the Beau Rivage climb toward Casino Square, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Monaco 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Grandstand B &mdash; the Beau Rivage climb toward Casino Square, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Fairmont Monte Carlo (Monaco 5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Sea View King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return direct flights London&ndash;Nice</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Helicopter or private car from Nice</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"monaco-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Private terrace hospitality overlooking the circuit &mdash; apartment/rooftop venues above the racing line</dd></div><div class=""pk-row""><dt>Stay</dt><dd>all-inclusive; Monaco 5*</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Private terrace hospitality overlooking the circuit &mdash; apartment/rooftop venues above the racing line, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>H&ocirc;tel Hermitage (Monaco 5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Superior Sea View / Junior Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return direct flights London&ndash;Nice</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Helicopter or private car from Nice</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"monaco-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Trackside superyacht hospitality on the T-quay + Official Team Hospitality paddock access with your preferred team</dd></div><div class=""pk-row""><dt>Stay</dt><dd>H&ocirc;tel de Paris, Monte Carlo</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private programme, including helicopter Nice&ndash;Monaco</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Trackside superyacht hospitality on the T-quay, plus Official Team Hospitality paddock access with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>H&ocirc;tel de Paris Monte-Carlo</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Sea View / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return direct flights London&ndash;Nice</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private programme, including helicopter Nice&ndash;Monaco</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
