"reference","page","image","action","resolution","new_image","notes"
"490","japanese-grand-prix-2027.html","assets/img/luxury/asia/japan/japan-about-01.jpg","Replace","removed-gap-recorded","","Arashiyama bamboo grove (Kyoto) under 'Ise Grand Shrine'. No Ise imagery in the library. Image removed. NEEDED: Ise Grand Shrine / Oharaimachi."
"491","japanese-grand-prix-2027.html","assets/img/sports/f1/index/f1-hero-01.jpg","Replace","removed-gap-recorded","","Formula 1 grid shot under 'Toyota museums'. No museum imagery in the library. Image removed. NEEDED: Toyota Commemorative Museum of Industry and Technology or the Toyota Automobile Museum, Nagoya."
"508","las-vegas-grand-prix-2026.html","assets/img/luxury/north-america/arizona/arizona-amangiri-ext-01.jpg","Replace","removed-gap-recorded","","Amangiri desert resort removed from the Grand Canyon helicopter card. NEEDS: Grand Canyon photograph."
"509","las-vegas-grand-prix-2026.html","assets/img/luxury/middle-east/index/middle-east-hero-02.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from the after-parties card. NEEDS: Las Vegas club / after-party photograph (Omnia, XS, Zouk). No Dubai imagery now remains on this page."
"514","luxury-travel.html","assets/img/luxury/index/luxury-region-villas.jpg","Caption / replace","caption-corrected","","Alt changed from 'Interiors from the Vedere luxury collection' to describe what is shown: a villa infinity pool and loungers on a hillside terrace. No location claimed, as the property is not identified."
"530","malaysian-grand-prix-2026.html","assets/img/sports/f1/malaysian-grand-prix-2026/f1-malaysian-package-hospitality-experience.jpg","Replace","removed-gap-recorded","","The image was a Kuala Lumpur hotel rooftop pool sold as Sepang pit-building hospitality. Removed the pk-media block, matching the image-free package cards already deployed on the Belgian, Chinese and Italian pages. NEEDS: Sepang International Circuit hospitality suite photograph."
"531","malaysian-grand-prix-2026.html","assets/img/sports/f1/malaysian-grand-prix-2026/f1-malaysian-package-luxury-race-weekend.jpg","Replace","removed-gap-recorded","","The image was the exterior of the budget Hotel Sri Langit, sold as a GBP 6,995pp Official Team Hospitality package. Removed. NEEDS: Official Team Hospitality suite photograph at Sepang."
"533","malaysian-grand-prix-2026.html","assets/img/luxury/middle-east/index/middle-east-hero-02.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from the Petronas Towers / KLCC card. The only KL tower imagery in the library is a hotel rooftop pool with the towers in the far corner, which would repeat the same fault, so nothing was substituted. NEEDS: Petronas Towers skybridge / KLCC at night. No Dubai imagery now remains on this page."
"534","malaysian-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street scene removed from the Jalan Alor / Petaling Street card. NEEDS: Jalan Alor or Chinatown Petaling Street photograph."
"535","malaysian-grand-prix-2026.html","assets/img/luxury/asia/index/asia-destination-thailand.jpg","Replace","removed-gap-recorded","","Thai garden pavilion removed from the Batu Caves card. NEEDS: Batu Caves and temple photograph."
"536","malaysian-grand-prix-2026.html","assets/img/luxury/index/luxury-region-north-america.jpg","Replace","removed-gap-recorded","","Clifftop seaside terrace removed from the KL rooftop-bars card. NEEDS: Marini's on 57 / Heli Lounge Bar or another recognisable Kuala Lumpur rooftop."
"550","mexico-city-grand-prix-2026.html","assets/img/sports/f1/mexico-city-grand-prix-2026/f1-mexico-city-package-hospitality-experience.jpg","Replace","replaced","assets/img/sports/library/f1-mexico-2025/f1-mexico-2025-01.jpg","Old file was a hotel bedroom on a card selling Gran Premio hospitality suites above the Main Grandstand. No Autodromo Hermanos Rodriguez hospitality photography in the library; used the verified 2025 race-start frame on the main straight. NEEDS SOURCING: photograph of the Gran Premio hospitality suites above the Main Grandstand."
"554","mexico-city-grand-prix-2026.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-village.jpg","Verify / replace","removed-gap-recorded","","Wimbledon Village flower stall under 'Dia de Muertos'. GAP: Dia de Muertos ofrendas / parade in Mexico City."
"557","mexico-city-grand-prix-2026.html","assets/img/luxury/caribbean/mexico/mexico-band-01.jpg","Replace","removed-gap-recorded","","Riviera Maya beach under 'Teotihuacan pyramids; Frida Kahlo's Casa Azul'. GAP: Teotihuacan at sunrise / Casa Azul, Coyoacan."
"573","miami-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street scene removed from the Joe's Stone Crab / Calle Ocho card. NEEDS: Little Havana / Calle Ocho photograph."
"598","mlb.html","assets/img/sports/f1/miami-grand-prix-2027/f1-miami-section-beyond.jpg","Verify / replace","replaced","assets/img/sports/us-sports/index/us-sports-band-01.jpg","A Miami Grand Prix skyline asset was standing in for Chicago. Replaced with the genuine Chicago skyline photograph (Willis Tower, Kennedy Expressway, Lake Shore Drive signage) already held on the site. NOTE: that file is also used in the 'Chicago - home of Wrigley Field' figure higher up the page; a second Chicago photograph would remove the duplication. MLB library images were not used here because their baked-in white border suits cards, not this slot."
"614","monaco-grand-prix-2027.html","assets/img/luxury/europe/france/france-hero-01.jpg","Replace","removed-gap-recorded","","Verified wrong: the photograph is Antibes old town and its ramparts (Chateau Grimaldi), not Eze, which is a hilltop village well above the sea. No Eze or Moyenne Corniche imagery in the library. Image removed. NEEDED: the hilltop village of Eze / the Moyenne Corniche."
"615","monaco-grand-prix-2027.html","assets/img/luxury/europe/france/france-about-01.jpg","Replace","replaced","assets/img/sports/f1/monaco-grand-prix-2027/f1-monaco-section-beyond.jpg","Verified wrong: the photograph is the old port of Saint-Tropez. Replaced with genuine Monaco-Ville photography already held for this page (the rock, the Palace above it and the harbour below), previously unused on any page."
"624","nba.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as a golf clubhouse dining room - the Claret Jug, golf trophies and course photography are all legible - so there is no link to NBA club hospitality. Removed from the Club Experience card. NEEDS: NBA arena club-lounge photograph."
"625","nba.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","removed-gap-recorded","","Verified as club seating at an American open-air ballpark. Removed from the Courtside card. NEEDS: NBA courtside / floor-seat photograph."
"627","nba.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Verified as a football-ground hospitality restaurant (a Sheffield United FC feed is on the screens). Figure removed; the What's Included section now matches the single-column form already deployed on boxing.html. A Madison Square Garden exterior was considered but rejected as it shows no lounge and the page already carries one. NEEDS: NBA arena lounge photograph."
"646","nfl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","replaced","assets/img/sports/library/us-sports-nfl/us-sports-nfl-06.jpg","Confirmed the reviewer’s point: a Wembley football-hospitality asset was reused on an NFL Club Seats card. No NFL club-lounge photography in the library; replaced with verified Super Bowl LX action. NEEDS SOURCING: photograph of an NFL club-level lounge."
"647","nfl.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","replaced","assets/img/sports/library/us-sports-nfl/us-sports-nfl-02.jpg","Wimbledon debenture-lounge asset reused on an NFL Private Suite card. Replaced with the verified wide Super Bowl LX view at Levi’s Stadium (the whole stadium below, suite tiers visible). NEEDS SOURCING: photograph of an NFL private stadium suite."
"649","nfl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","replaced","assets/img/sports/library/us-sports-nfl/us-sports-nfl-03.jpg","Confirmed the seats overlook a US ballpark (Sutter Health branding), not an NFL stadium. Replaced with genuine Super Bowl LX photography from the NFL library; caption changed to match what is shown. No genuine NFL club-level lounge photograph exists in the library."
"661","nhl.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","replaced","assets/img/sports/library/us-sports-nhl-winter-classic/us-sports-nhl-winter-classic-01.jpg","Masters wood-panelled lounge asset reused on an NHL Club Seats card, with no verified link to the product. Replaced with verified 2026 NHL Winter Classic arena photography. NEEDS SOURCING: photograph of an NHL arena club lounge."
"664","nhl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Wembley football-hospitality lounge captioned 'Club access - the arena's own lounges' on an NHL page. Figure removed (same treatment as boxing.html ref 165). GAP: NHL arena club-lounge photography."
"669","nhl.html","assets/img/luxury/north-america/new-england/new-england-about-01.jpg","Replace","replaced","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-section-beyond.jpg","New England autumn lake under 'Montreal and Toronto' replaced with the repo's genuine downtown Montreal skyline photograph."
"674","nordics.html","assets/img/luxury/europe/index/europe-hero-02.jpg","Replace","replaced","assets/img/destinations/nordics/nordics-01.jpg","Amalfi Coast / Positano on a Nordics page replaced with the verified Nordic destination photograph - a river through forest beneath mountains in Norway."
"713","portuguese-grand-prix-2027.html","assets/img/sports/f1/portuguese-grand-prix-2027/f1-portuguese-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/portuguese-grand-prix-2027/f1-portuguese-band-01.jpg","Photograph is a hotel above Portimao marina and the Arade estuary, not the Autodromo. Alt rewritten; this band carries no caption."
"721","portuguese-grand-prix-2027.html","assets/img/luxury/europe/portugal/portugal-pine-cliffs-ext-01.jpg","Replace","removed-gap-recorded","","Pine Cliffs (Albufeira) removed from the Sagres / Cabo de Sao Vicente card. NEEDS: Cabo de Sao Vicente or Sagres photograph."
"722","portuguese-grand-prix-2027.html","assets/img/luxury/europe/croatia/croatia-about-01.jpg","Replace","removed-gap-recorded","","Croatian stone harbour village removed from the Portimao old town / Ferragudo card. NEEDS: Portimao old town or Ferragudo photograph."
"730","premier-league-wembley-hospitality.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","replaced","assets/img/sports/library/football-chelsea/football-chelsea-02.jpg","Wimbledon asset reused on the Season-Long / Corporate card. Replaced with the client’s verified Stamford Bridge pitch-hospitality photograph; both Wembley hospitality library frames were already in use elsewhere on the page."
"748","qatar-grand-prix-2026.html","assets/img/luxury/africa/index/africa-about-01.jpg","Replace","removed-gap-recorded","","Ornate Moorish courtyard under 'Museum of Islamic Art and the National Museum'. No Doha museum imagery in the library. Image removed. NEEDED: Museum of Islamic Art and/or the National Museum of Qatar (the desert-rose building)."
"749","qatar-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Souq Waqif evenings'. No Souq Waqif imagery in the library. Image removed. NEEDED: Souq Waqif in the evening / the falcon souq."
"750","qatar-grand-prix-2026.html","assets/img/luxury/north-america/index/north-america-destination-arizona.jpg","Replace","removed-gap-recorded","","Arizona desert resort under 'Desert safari - inland sea dune drive'. No Qatari desert imagery in the library. Image removed. NEEDED: the Khor Al Adaid inland sea / Qatari dune drive at sunset."
"751","qatar-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-conrad-etihad-towers-ext-01.jpg","Replace","removed-gap-recorded","","Abu Dhabi's Etihad Towers under 'Katara Cultural Village and the Corniche'. The only Doha assets are hotel press photographs and the Katara Towers in Lusail, which is a different place from Katara Cultural Village, so nothing was substituted. Image removed. NEEDED: Katara Cultural Village and/or the Doha Corniche promenade."
"775","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-package-melbourne.jpg","Replace","removed-gap-recorded","","Melbourne skyline under 'Brisbane'. Only Sydney, Melbourne, Great Ocean Road and Great Barrier Reef photography genuinely exists. GAP: Brisbane."
"777","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-package-beyond.jpg","Replace","removed-gap-recorded","","Twelve Apostles (Victoria) under 'Perth'. GAP: Perth / Western Australia / Margaret River."
"778","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-section-crown-towers.jpg","Replace","removed-gap-recorded","","Melbourne Yarra towers under 'Adelaide'. GAP: Adelaide Oval / the Torrens / Barossa."
"779","rugby-world-cup-2027.html","assets/img/luxury/indian-ocean/maldives/maldives-hero-01.jpg","Replace","removed-gap-recorded","","Maldives island under 'Newcastle & Townsville'. GAP: Newcastle NSW and Townsville / tropical north Queensland."
"805","sao-paulo-grand-prix-2026.html","assets/img/sports/f1/sao-paulo-grand-prix-2026/f1-sao-paulo-package-hospitality-experience.jpg","Replace","replaced","assets/img/sports/library/f1-brazil-2025/f1-brazil-2025-05.jpg","Old file was a hotel rooftop pool over the Sao Paulo skyline on a card selling the Interlagos Grand Prix Club. No Interlagos hospitality photography in the library; used verified 2025 Interlagos race photography. NEEDS SOURCING: photograph of the Grand Prix Club hospitality over start/finish at Interlagos."
"810","sao-paulo-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Beco do Batman street art and Vila Madalena bars'. No Sao Paulo street imagery in the library (only Interlagos race photography and two hotel sets). Image removed. NEEDED: Beco do Batman / Vila Madalena."
"811","sao-paulo-grand-prix-2026.html","assets/img/luxury/asia/index/asia-hero-03.jpg","Verify / replace","removed-gap-recorded","","An Asian tropical-forest pavilion under 'Ibirapuera Park and MASP on Paulista'; unverifiable as Sao Paulo and plainly not either named landmark. Image removed. NEEDED: Ibirapuera Park or MASP on Avenida Paulista."
"821","saudi-arabian-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-emirates-palace-ext-01.jpg","Verify / replace","removed-gap-recorded","","Abu Dhabi's Emirates Palace under 'Al-Balad'. GAP: Al-Balad coral houses, Jeddah (UNESCO)."
"822","saudi-arabian-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-conrad-etihad-towers-ext-01.jpg","Replace","removed-gap-recorded","","Abu Dhabi's Etihad Towers under 'King Fahd Fountain and corniche promenade'. No Jeddah photography in the repo. GAP: King Fahd Fountain / Jeddah Corniche."
"840","singapore-grand-prix-2026.html","assets/img/luxury/asia/index/asia-hero-03.jpg","Verify / replace","removed-gap-recorded","","Verified as a jungle resort with a circular lotus-pond roof above rainforest - not Gardens by the Bay or Marina Bay Sands. Removed. NEEDS: Gardens by the Bay light show / Marina Bay Sands SkyPark photograph."
"842","singapore-grand-prix-2026.html","assets/img/luxury/middle-east/dubai/dubai-marina-night-01.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from the after-parties card. NEEDS: Marina Bay nightlife / CE LA VI photograph. No Dubai imagery now remains on this page."
"863","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-grandstand-experience.jpg","Verify / replace","replaced","assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-01.jpg","Old file showed rows of empty red seats in an unidentified stadium, not the MADRING La Monumental bowl. Replaced with verified 2026 Madrid race-weekend photography; alt does not name the corner."
"864","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-premium-madrid.jpg","Verify / replace","replaced","assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-02.jpg","Old file looked like a CGI render of a hospitality building, unverifiable as a post-opening MADRING photograph and not the Pit Straight Grandstand the card sells. Replaced with verified 2026 Madrid photography."
"866","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-luxury-race-weekend.jpg","Verify / replace","replaced","assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-05.jpg","Old file was House 44 at the F1 Paddock Club at another circuit (green British-style grandstand behind), used on a card selling Official Team Hospitality at Madrid. Replaced with the verified 2026 Madrid qualifying top-three frame. NEEDS SOURCING: photograph of team hospitality at the Madrid race."
"867","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-section-circuit.jpg","Verify / replace","replaced","assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-04.jpg","Verified wrong: the image is an aerial of the MADRING site under construction (bare earthworks for the Turn 12 bowl) captioned as 'the main grandstand'. Replaced with confirmed post-opening 2026 Madrid photography of a car on the banking; figcaption 'MADRING, Madrid' remains accurate."
"870","spanish-grand-prix-2026.html","assets/img/sports/football/index/football-hero-01.jpg","Verify / replace","replaced","assets/img/sports/library/football-real-madrid/football-real-madrid-01.jpg","Generic floodlit stadium under 'Bernabeu stadium tour'. Replaced with the library's Santiago Bernabeu photograph showing the completed new roof and 360-degree scoreboard on a match day - i.e. the renovated venue the copy promises."
"871","spanish-grand-prix-2026.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant under 'Tapas crawl - Mercado de San Miguel to La Latina'. No Madrid food-market imagery in the library. Image removed. NEEDED: Mercado de San Miguel / La Latina tapas bars."
"872","spanish-grand-prix-2026.html","assets/img/luxury/index/luxury-region-north-america.jpg","Replace","removed-gap-recorded","","Clifftop seaside terrace under 'Rooftops at sunset - Circulo de Bellas Artes'. The only Madrid rooftop in the library is The Madrid EDITION pool, already used in this page's hotel gallery and a hotel rather than the named rooftop. Image removed. NEEDED: Circulo de Bellas Artes rooftop or another recognisable Madrid rooftop at sunset."
"875","sports-travel.html","assets/img/sports/index/sports-hero-02.jpg","Caption / replace","already-resolved","","Superseded by the approved seven-slide hero installed since the review; the file is no longer referenced on this page."
"876","sports-travel.html","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg","Quality","replaced","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-03.jpg","Same Featured Sports Journeys card as index.html finding 428; identical fix applied."
"888","sports-travel.html","assets/img/sports/index/sports-card-formula-one.jpg","Caption / replace","caption-corrected","","The photograph is Yas Marina Circuit, Abu Dhabi - the shade canopies over the pit straight at dusk, with Etihad branding - not a car on track. Alt corrected to describe it."
"912","thailand.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/thailand/thailand-01.jpg","Same Vietnamese rock-villa resort as the Bali and Japan bands. Replaced with the library's genuine Phang Nga Bay photograph."
"916","the-ashes-2027.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as Map & Flag hospitality at Augusta, reused on the Ashes Hospitality card. No Test-ground hospitality photography exists (the cricket library is South Africa only). pk-media block removed. NEEDED: hospitality at an English Test ground (Lord's, Edgbaston or the Oval)."
"917","the-ashes-2027.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","replaced","assets/img/sports/cricket/index/cricket-event-ashes.jpg","Wimbledon hospitality asset on 'The Lord's Test' card replaced with the site's genuine photograph of the Lord's Pavilion during an Ashes Test. NOTE: the same file also appears lower down the page in the grounds figure; a second Lord's photograph would remove the duplication."
"921","the-ashes-2027.html","assets/img/sports/golf/the-open-2027/the-open-section-included.jpg","Replace","removed-gap-recorded","","Chandeliered banquet hall under 'The MCC Museum'. No museum imagery in the library. Image removed rather than reusing the Lord's Pavilion photograph, which shows a different building. NEEDED: the MCC Museum / the Ashes urn / a Lord's ground tour."
"922","the-ashes-2027.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant under ""Birmingham's food scene"". No Birmingham imagery in the library beyond Villa Park. Image removed. NEEDED: a Birmingham restaurant / city scene."
"923","the-ashes-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-about.jpg","Replace","removed-gap-recorded","","Adare Manor, Ireland, under 'The New Forest'. No New Forest or Hampshire coast imagery in the library. Image removed. NEEDED: the New Forest / the Hampshire coast."
"924","the-ashes-2027.html","assets/img/sports/f1/british-grand-prix-2027/f1-british-section-beyond.jpg","Verify / replace","replaced","assets/img/hotels/estelle-manor/estelle-manor-ext-02.jpg","The flagged photograph shows contemporary timber-clad lodges on a landscaped development, not countryside, and its location is unverified. Replaced with genuine, named English country-house photography (Estelle Manor, Oxfordshire) that honestly supports the 'English countryside' caption; alt names the property."
"938","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-band-01.jpg","Caption / replace","caption-corrected","","Photograph is the Golden Horn in Istanbul, not the circuit. Kept in the 'Vedere Says' transfer band with honest alt. The second placement of this same file (circuit section, captioned 'the grandstand view across the circuit') was replaced with f1-turkish-section-included.jpg, a genuine packed-grandstand view of Istanbul Park."
"941","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-package-hospitality-experience.jpg","Replace","removed-gap-recorded","","Image is the Ciragan Palace Kempinski pool on a card selling Istanbul Park circuit hospitality. Card image removed (matches austin.html, the template, where package cards carry no image). GAP: Istanbul Park hospitality-suite photography."
"942","turkish-grand-prix-2027.html","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-package-luxury-race-weekend.jpg","Replace","removed-gap-recorded","","Image is an AlphaTauri demonstration run on the Galata Bridge, not the Official Team Hospitality being sold. Card image removed. GAP: Official Team Hospitality suite photography. NOTE: the demo-run file is genuine Istanbul F1 and could be re-placed elsewhere with accurate alt if the client wants it."
"944","turkish-grand-prix-2027.html","assets/img/luxury/africa/index/africa-about-01.jpg","Verify / replace","removed-gap-recorded","","Generic courtyard under 'Hagia Sophia, Blue Mosque and Topkapi'. GAP: photography of those three named monuments."
"945","turkish-grand-prix-2027.html","assets/img/luxury/europe/turkey/turkey-about-01.jpg","Replace","replaced","assets/img/sports/f1/turkish-grand-prix-2027/f1-turkish-section-beyond.jpg","Aegean gulets replaced with the page's own genuine Bosphorus photograph - Ortakoy Mosque and the Bosphorus Bridge at sunset."
"946","turkish-grand-prix-2027.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street under 'Grand Bazaar and Spice Bazaar'. GAP: Grand Bazaar / Spice Bazaar photography."
"947","turkish-grand-prix-2027.html","assets/img/luxury/europe/nordics/nordics-blue-lagoon-retreat-ext-01.jpg","Replace","removed-gap-recorded","","Iceland's Blue Lagoon Retreat under 'Hammam ritual, Kilic Ali Pasa'. GAP: Kilic Ali Pasa Hamami photography."
"949","ufc.html","assets/img/sports/index/sports-hero-02.jpg","Replace","replaced","assets/img/heroes/ufc/ufc-hero-01.jpg","The flagged football-crowd asset had already been swapped for other-sports-band-01.jpg, which is a boxing bill at Madison Square Garden - still the wrong sport beside copy about the octagon. Replaced with the page's approved UFC photograph and recaptioned. It is the only genuine UFC frame in the repo, so it now appears both as the hero and in this figure. NEEDS: further UFC event photography so the page does not repeat one image."
"952","ufc.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Golf clubhouse dining room removed from the UFC Hospitality card. NEEDS: UFC official hospitality photograph (T-Mobile Arena or an international Fight Night venue)."
"955","ufc.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Football-ground hospitality restaurant removed; the What's Included section now matches the single-column form already deployed on boxing.html. NEEDS: UFC hospitality lounge photograph."
"958","ufc.html","assets/img/sports/football/index/football-hero-03.jpg","Quality","removed-gap-recorded","","Football floodlight pylon removed from the fight-week events card. NEEDS: UFC open workout or ceremonial weigh-in photograph."
"960","ufc.html","assets/img/luxury/middle-east/dubai/dubai-marina-night-01.jpg","Replace","removed-gap-recorded","","Dubai Marina removed from The Sphere card. NEEDS: Sphere, Las Vegas photograph. No Dubai imagery now remains on this page."
"985","us-sports.html","assets/img/sports/library/nba/nba-02.jpg","Caption / replace","verified-correct-no-change","","Checked the file: it genuinely is the Madison Square Garden exterior (Knicks signage, Chase entrances, Penn Station) and the existing alt already says so. The mismatch is with the card's 'Courtside at Madison Square Garden' line, and the library holds no NBA courtside photography - both NBA assets are MSG exteriors. GAP: NBA courtside photography if the card is to show the product."
"999","villas.html","assets/img/luxury/villas/index/villas-destination-marbella-amp-sotogrande.jpg","Verify / replace","caption-corrected","assets/img/luxury/villas/index/villas-destination-marbella-amp-sotogrande.jpg","The property could not be verified, but the card heading already names Marbella & Sotogrande, so the alt (previously just the label Marbella & Sotogrande) was rewritten to describe only what is visible - a white villa above a long pool and palms - and now makes no location claim. NEEDS: a verified Marbella or Sotogrande villa photograph if the placement is to name the destination."
